epoch,loss,lr,mean_absolute_error
0,0.008597432635724545,0.001,0.04643811658024788
1,0.0002651480317581445,0.001,0.010949620045721531
2,0.00025572089361958206,0.001,0.010795829817652702
3,0.00025266731972806156,0.001,0.010738863609731197
4,0.00024947122437879443,0.001,0.01066302414983511
5,0.00023195060202851892,0.00020000001,0.010276387445628643
6,0.00023012488964013755,0.00020000001,0.010221338830888271
7,0.00022708861797582358,0.00020000001,0.010147654451429844
8,0.00022420173627324402,4.0000003e-05,0.010105008259415627
9,0.0002241872134618461,4.0000003e-05,0.010090422816574574
10,0.0002233478589914739,4.0000003e-05,0.01005531381815672
11,0.00022310391068458557,1e-05,0.010052759200334549
12,0.0002228007942903787,1e-05,0.010049289092421532
13,0.0002228194789495319,1e-05,0.010055736638605595
14,0.00022242315753828734,1e-05,0.010030587203800678
15,0.0002219953603344038,1e-05,0.010026119649410248
16,0.00022198734222911298,1e-05,0.01002269983291626
17,0.00022168077703099698,1e-05,0.0100210877135396
18,0.00022172970056999475,1e-05,0.010006089694797993
19,0.00022124435054138303,1e-05,0.010017704218626022
20,0.00022164276742842048,1e-05,0.010020408779382706
21,0.00022106495453044772,1e-05,0.01000815350562334
22,0.00022083183284848928,1e-05,0.00998837873339653
23,0.00022044671641197056,1e-05,0.009986398741602898
24,0.0002205976052209735,1e-05,0.009973883628845215
25,0.00022017363517079502,1e-05,0.009977884590625763
26,0.0002194647240685299,1e-05,0.009960805997252464
27,0.00021932805248070508,1e-05,0.009958039037883282
28,0.00021891374490223825,1e-05,0.009954788722097874
29,0.0002187727513955906,1e-05,0.009954571723937988
30,0.0002186941128456965,1e-05,0.009955802001059055
31,0.00021792942425236106,1e-05,0.009936939924955368
32,0.0002175067347707227,1e-05,0.009905774146318436
33,0.00021711195586249232,1e-05,0.009908398613333702
34,0.00021677807671949267,1e-05,0.00990818440914154
35,0.00021704519167542458,1e-05,0.009898161515593529
36,0.0002158174611395225,1e-05,0.009893255308270454
37,0.00021560341701842844,1e-05,0.009889566339552402
38,0.00021570234093815088,1e-05,0.009857716038823128
39,0.00021475071844179183,1e-05,0.00985040981322527
40,0.00021417603420559317,1e-05,0.009840914979577065
41,0.00021385557192843407,1e-05,0.00982033833861351
42,0.00021327499416656792,1e-05,0.009820097126066685
43,0.0002136400726158172,1e-05,0.009815815836191177
44,0.0002129159984178841,1e-05,0.00980920996516943
45,0.00021253968589007854,1e-05,0.009799563325941563
46,0.0002126031758962199,1e-05,0.009818015620112419
47,0.00021055678371340036,1e-05,0.00974766444414854
48,0.00021026935428380966,1e-05,0.009744741953909397
49,0.00021050902432762086,1e-05,0.009761570021510124
